"","column_names"
"1","Date"
"2","daily_median_airtemp_interp_degC"
"3","flag_daily_median_airtemp_interp_degC"
"4","daily_median_swr_interp_Wm2"
"5","flag_daily_median_swr_interp_Wm2"
"6","daily_median_inflow_interp_cms"
"7","flag_daily_median_inflow_interp_cms"
"8","daily_median_watertemp_interp_degC"
"9","flag_daily_median_watertemp_interp_degC"
"10","daily_median_srp_interp_ugL"
"11","flag_daily_median_srp_interp_ugL"
"12","daily_median_din_interp_ugL"
"13","flag_daily_median_din_interp_ugL"
"14","daily_median_inflow_srp_interp_ugL"
"15","flag_daily_median_inflow_srp_interp_ugL"
"16","daily_median_inflow_din_interp_ugL"
"17","flag_daily_median_inflow_din_interp_ugL"
"18","daily_median_Secchi_interp_m"
"19","flag_daily_median_Secchi_interp_m"
"20","daily_median_CTD_Temp_C"
"21","flag_daily_median_CTD_Temp_C"
"22","daily_median_chla_interp_ugL"
"23","flag_daily_median_chla_interp_ugL"
